Virus,Treatment,Group1,Group2,ID,Date,Day,Weekday,Weight,Temp,Blood_Collection,NW,RS,BD,Lethargy,Mentation,Nasal_Discharge,Sneeze,Ab_Breathing,Decrease_or_Lack_Grooming,Hunched,Facial,Neuro,Hydration,Diarrhea,Anemia,Yellow_Sera,temp_change,weight_change,wt_loss_cum_p,euth,euth_day,notes
H3N2,naive,yes,no,T7722,45794,5,Saturday,1356,39,,,,,0,B,N,Y,N,N,,N,N,G,N,N,N,-0.4,88.11,11.89,,,
H3N2,naive,yes,no,T7722,45795,6,Sunday,1330,38.9,Y,450,0,,0,Q,N,Y,N,N,,N,N,G,N,N,N,-0.5,86.42,13.58,,,
H3N2,naive,yes,no,T7722,45796,7,Monday,1322,39.8,,,,,0,Q,N,Y,N,Y,,N,N,A,N,N,N,0.4,85.9,14.1,,,decreased grooming
H3N2,naive,yes,no,T7722,45797,8,Tuesday,1280,39.1,,0,0,,0,B,N,Y,N,Y,,N,N,G,N,N,N,-0.3,83.17,16.83,,,decreased grooming
H3N2,naive,yes,no,T7722,45798,9,Wednesday,1282,39.9,,,,,0,B,N,N,N,N,,N,N,G,N,N,N,0.5,83.3,16.7,,,
H3N2,naive,yes,no,T7722,45799,10,Thursday,1320,39.4,Y,0,0,,0,B,N,N,N,N,,N,N,G,N,N,N,0,85.77,14.23,,,
H3N2,naive,yes,no,T7722,45800,11,Friday,1336,38.5,,,,,0,Q,N,N,N,N,,N,N,G,N,N,N,-0.9,86.81,13.19,,,
H3N2,naive,yes,no,T7722,45801,12,Saturday,1330,39.5,,,,,,,,,,,,,,,,,,0.1,86.42,13.58,,,
H3N2,naive,yes,no,T7722,45802,13,Sunday,1370,38.2,,,,,,,,,,,,,,,,,,-1.2,89.02,10.98,,,
H3N2,naive,yes,no,T7722,45803,14,Monday,1376,38.8,,,,,,,,,,,,,,,,,,-0.6,89.41,10.59,,,
H3N2,naive,yes,no,T7722,45804,15,Tuesday,1350,39.6,Y,,,,0,B,N,N,N,N,,N,N,G,N,N,N,0.2,87.72,12.28,,,
H3N2_TX37,immune,no,yes,T7720,45877,-4,Friday,1098,,,,,,0,B,N,N,N,N,N,N,N,G,N,N,N,,,,,,
H3N2_TX37,immune,no,yes,T7720,45885,0,Saturday,1091,39,Y,,,,0,B,N,N,N,N,N,N,N,G,N,N,N,0,100,0,,,
H3N2_TX37,immune,no,yes,T7720,45886,1,Sunday,1084,40.4,Y,130000,80,0,0,Q,N,N,N,N,N,N,N,G,N,N,N,1.4,99.3583868,0.641613199,,,
H3N2_TX37,immune,no,yes,T7720,45887,2,Monday,1021,40.6,Y,1100000,0,0,1,O,Y,N,N,N,N,N,N,G,N,N,N,1.6,93.58386801,6.416131989,,,
H3N2_TX37,immune,no,yes,T7720,45888,3,Tuesday,987,38.3,,,,,1,D,Y,N,N,N,N,N,N,G,N,N,N,-0.7,90.46746104,9.532538955,,,
H3N2_TX37,immune,no,yes,T7720,45889,4,Wednesday,958,38.5,Y,300000,240,0,1,D,Y,N,N,N,N,N,N,G,N,N,N,-0.5,87.80934922,12.19065078,,,
H3N2_TX37,immune,no,yes,T7720,45890,5,Thursday,937,40.1,,,,,0,Q,Y,N,N,N,N,N,N,G,N,N,N,1.1,85.88450962,14.11549038,,,
H3N2_TX37,immune,no,yes,T7720,45891,6,Friday,930,39.6,Y,400,120,0,1,D,Y,N,N,N,N,Y,N,G,N,N,N,0.6,85.24289643,14.75710357,,,
H3N2_TX37,immune,no,yes,T7720,45892,7,Saturday,857,38.7,,,,,0,Q,Y,N,N,N,N,N,N,G,N,N,N,-0.3,78.55178735,21.44821265,,,
H3N2_TX37,immune,no,yes,T7720,45893,8,Sunday,826,38.5,Y,0,0,,1,D,Y,N,N,N,N,Y,Y,G,N,N,N,-0.5,75.71035747,24.28964253,yes,8,"ears pulled, whiskers, weak legs"
H3N2_TX37,immune,no,yes,T7721,45877,-4,Friday,1015,,,,,,0,B,N,N,N,N,N,N,N,G,N,N,N,,,,,,
H3N2_TX37,immune,no,yes,T7721,45885,0,Saturday,1017,38.7,Y,,,,0,B,N,N,N,N,N,N,N,G,N,N,N,0,100,0,,,
H3N2_TX37,immune,no,yes,T7721,45886,1,Sunday,1002,40.7,Y,180000,20,0,1,Q,N,N,N,N,N,N,N,G,N,N,N,2,98.52507375,1.474926254,,,
H3N2_TX37,immune,no,yes,T7721,45887,2,Monday,912,39.9,Y,1500000,50,0,1,O,Y,N,N,N,N,N,N,G,N,N,Y,1.2,89.67551622,10.32448378,,,yellow sera
H3N2_TX37,immune,no,yes,T7721,45888,3,Tuesday,909,40,,,,,1,D,Y,N,N,N,N,N,N,G,N,N,N,1.3,89.38053097,10.61946903,,,
H3N2_TX37,immune,no,yes,T7721,45889,4,Wednesday,888,39.1,Y,1400000,0,0,1,D,Y,N,N,Y,N,N,N,D,N,N,Y,0.4,87.31563422,12.68436578,,,"yellow sera, decreased grooming (poop)"
H3N2_TX37,immune,no,yes,T7721,45890,5,Thursday,866,40,,,,,0,Q,Y,N,N,N,N,N,N,G,N,N,N,1.3,85.15240905,14.84759095,,,
H3N2_TX37,immune,no,yes,T7721,45891,6,Friday,829,39.7,Y,16000,0,0,0,Q,Y,N,N,N,N,N,N,G,N,N,Y,1,81.51425762,18.48574238,,,yellow sera
H3N2_TX37,immune,no,yes,T7721,45892,7,Saturday,781,37.8,Y,450,,,2,O,Y,N,N,N,N,Y,Y,D,Y,N,Y,-0.9,76.79449361,23.20550639,yes,7,"yellow sera, very weak legs"
H3N2_TX37,immune,no,yes,T7722,45877,-4,Friday,1429,,,,,,0,B,N,N,N,N,N,N,N,G,N,N,N,,,,,,
H3N2_TX37,immune,no,yes,T7722,45885,0,Saturday,1436,38.4,Y,,,,0,B,N,N,N,N,N,N,N,G,N,N,N,0,100,0,,,
H3N2_TX37,immune,no,yes,T7722,45886,1,Sunday,1425,40,Y,1700000,0,0,1,D,N,N,N,N,N,N,N,G,N,N,N,1.6,99.23398329,0.766016713,,,
H3N2_TX37,immune,no,yes,T7722,45887,2,Monday,1345,39.2,Y,5000000,0,0,2,O,N,N,N,N,N,N,N,G,N,N,N,0.8,93.66295265,6.337047354,,,
H3N2_TX37,immune,no,yes,T7722,45888,3,Tuesday,1295,39.2,,,,,2,O,N,N,N,N,Y,N,N,G,N,N,N,0.8,90.1810585,9.818941504,,,
H3N2_TX37,immune,no,yes,T7722,45889,4,Wednesday,1252,36.1,Y,10000000,80,330,2,S,Y,N,N,N,Y,Y,N,G,Y,N,N,-2.3,87.18662953,12.81337047,yes,4,
